Text Key	Base(en)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian  (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh)	Vietnamese (vi)
end	End	نهاية	Konec	Ende	Τέλος	Fin	Lõpp	Loppu	Fin	अंत	Akhir	FINE	終わり	ចប់	ಅಂತ್ಯ	끝	ຈົບ	Beigas	tamat	Einde	Koniec	Fim	Конец	จบ	Son	Кінець	结尾	Kết thúc
disabled_time	Disabled time	وقت معطل	Čas deaktivace	Behinderte Zeit	Ώρα για άτομα με ειδικές ανάγκες	tiempo inhabilitado	Puudega aeg	Käytöstä poistettu aika	Temps désactivé	अक्षम समय	Waktu dinonaktifkan	Tempo disabili	無効時間	ពេលវេលាពិការ	ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿದ ಸಮಯ	장애인 시간	ເວລາພິການ	Invalīdu laiks	Masa dilumpuhkan	Gehandicapte tijd	Niepełnosprawny czas	Tempo desativado	Время отключения	เวลาปิดการใช้งาน	Devre dışı kalma süresi	Час вимкнення	禁用时间	thời gian bị vô hiệu hóa
safe_time_setting	Safe time setting	إعداد الوقت الآمن	Bezpečné nastavení času	Sichere Zeiteinstellung	Ρύθμιση ασφαλούς χρόνου	Configuración de hora segura	Ohutu aja seadistus	Turvallinen ajan asetus	Réglage de l'heure en toute sécurité	सुरक्षित समय निर्धारण	Pengaturan waktu yang aman	Impostazione dell'ora sicura	安全な時間設定	ការកំណត់ពេលវេលាសុវត្ថិភាព	ಸುರಕ್ಷಿತ ಸಮಯ ಸೆಟ್ಟಿಂಗ್	안전한 시간 설정	ການຕັ້ງຄ່າເວລາປອດໄພ	Droša laika iestatīšana	Tetapan masa selamat	Veilige tijdinstelling	Bezpieczne ustawienie czasu	Configuração de tempo seguro	Безопасная настройка времени	การตั้งค่าเวลาที่ปลอดภัย	Güvenli zaman ayarı	Налаштування безпечного часу	安全时间设定	Cài đặt thời gian an toàn
start_time	Start time	وقت البدء	Doba spuštění	Startzeit	Ωρα έναρξης	Hora de inicio	Algusaeg	Aloitusaika	Heure de début	समय शुरू	Waktu mulai	Ora di inizio	始まる時間	ពេលវេលាចាប់ផ្តើម	ಆರಂಭವಾಗುವ	시작 시간	ເວລາເລີ່ມຕົ້ນ	Sākuma laiks	Masa mula	Starttijd	Czas rozpoczęcia	Hora de início	Время начала	เวลาเริ่มต้น	Başlangıç ​​saati	Час початку	开始时间	Thời gian bắt đầu
end_time	End time	وقت النهاية	Čas ukončení	Endzeit	Τέλος χρόνου	Hora de finalización	Lõpuaeg	Loppu aika	Heure de fin	अंत समय	Akhir waktu	Tempo scaduto	終了時間	ពេលវេលាបញ្ចប់	ಅಂತಿಮ ಸಮಯ	종료 시간	ເວລາສິ້ນສຸດ	Beigu laiks	Masa tamat	Eindtijd	Koniec czasu	Fim do tempo	Время окончания	เวลาสิ้นสุด	Bitiş zamanı	Час закінчення	时间结束	Thời gian kết thúc
disable_flash_alert_within_a_specified_time	Disable flash alert within a specified time	تعطيل تنبيه الفلاش خلال فترة زمنية محددة	Deaktivovat upozornění bleskem v určeném čase	Deaktivieren Sie den Blitzalarm innerhalb einer bestimmten Zeit	Απενεργοποιήστε την ειδοποίηση φλας εντός καθορισμένου χρόνου	Deshabilitar la alerta de flash dentro de un tiempo específico	Välguhoiatuse keelamine määratud aja jooksul	Poista salamahälytys käytöstä tietyn ajan kuluessa	Désactiver l'alerte flash dans un délai spécifié	एक निर्दिष्ट समय के भीतर फ्लैश अलर्ट अक्षम करें	Nonaktifkan peringatan kilat dalam waktu tertentu	Disabilita l'avviso flash entro un tempo specificato	指定した時間内でフラッシュ アラートを無効にする	បិទការជូនដំណឹងពន្លឺក្នុងរយៈពេលជាក់លាក់មួយ។	ನಿರ್ದಿಷ್ಟ ಸಮಯದೊಳಗೆ ಫ್ಲಾಶ್ ಎಚ್ಚರಿಕೆಯನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ	지정된 시간 내에 플래시 경고 비활성화	ປິດການແຈ້ງເຕືອນແຟລດພາຍໃນເວລາທີ່ກໍານົດໄວ້	Atspējot zibspuldzes brīdinājumu noteiktā laikā	Lumpuhkan amaran kilat dalam masa yang ditetapkan	Schakel flitswaarschuwing binnen een bepaalde tijd uit	Wyłącz alert flash w określonym czasie	Desative o alerta flash dentro de um tempo especificado	Отключить флэш-оповещение в течение указанного времени	ปิดการแจ้งเตือนแฟลชภายในระยะเวลาที่กำหนด	Flaş uyarısını belirli bir süre içinde devre dışı bırakın	Вимкніть спалах сповіщення протягом зазначеного часу	在指定时间内禁用闪光警报	Tắt cảnh báo flash trong một thời gian nhất định
battery_saver_setting	Battery saver setting	إعداد توفير البطارية	Nastavení spořiče baterie	Einstellung des Batteriesparmodus	Ρύθμιση εξοικονόμησης μπαταρίας	Configuración de ahorro de batería	Akusäästja seade	Virransäästöasetus	Paramètres d'économie de batterie	बैटरी सेवर सेटिंग	Pengaturan penghemat baterai	Impostazione del risparmio energetico	バッテリーセーバー設定	ការកំណត់ការសន្សំថ្ម	ಬ್ಯಾಟರಿ ಸೇವರ್ ಸೆಟ್ಟಿಂಗ್	배터리 절약 설정	ການຕັ້ງຄ່າຕົວປະຢັດແບັດເຕີຣີ	Akumulatora taupīšanas iestatījums	Tetapan penjimat bateri	Instelling batterijbesparing	Ustawienie oszczędzania baterii	Configuração de economia de bateria	Настройка экономии заряда батареи	การตั้งค่าประหยัดแบตเตอรี่	Pil tasarrufu ayarı	Налаштування енергозбереження	省电设置	Cài đặt tiết kiệm pin
ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms	ms
select_app	Select app	حدد التطبيق	Vyberte aplikaci	App auswählen	Επιλέξτε εφαρμογή	Seleccionar aplicación	Valige rakendus	Valitse sovellus	Sélectionnez l'application	ऐप चुनें	Pilih aplikasi	Seleziona l'app	アプリを選択	ជ្រើសរើសកម្មវិធី	ಅಪ್ಲಿಕೇಶನ್ ಆಯ್ಕೆಮಾಡಿ	앱 선택	ເລືອກແອັບ	Izvēlieties lietotni	Pilih apl	Selecteer app	Wybierz aplikację	Selecione o aplicativo	Выберите приложение	เลือกแอป	Uygulamayı seçin	Виберіть додаток	选择应用程序	Chọn ứng dụng
disable_flash_alert_for_selected_apps	Disable flash alert for selected apps	تعطيل تنبيه الفلاش للتطبيقات المحددة	Zakázat bleskové upozornění pro vybrané aplikace	Deaktivieren Sie die Flash-Benachrichtigung für ausgewählte Apps	Απενεργοποίηση ειδοποίησης φλας για επιλεγμένες εφαρμογές	Deshabilitar la alerta flash para aplicaciones seleccionadas	Keelake valitud rakenduste jaoks välguhoiatus	Poista salamahälytys käytöstä valituissa sovelluksissa	Désactiver l'alerte flash pour les applications sélectionnées	चयनित ऐप्स के लिए फ़्लैश अलर्ट अक्षम करें	Nonaktifkan peringatan flash untuk aplikasi yang dipilih	Disabilita avviso flash per le app selezionate	選択したアプリのフラッシュ アラートを無効にする	បិទការជូនដំណឹងពន្លឺសម្រាប់កម្មវិធីដែលបានជ្រើសរើស	ಆಯ್ಕೆಮಾಡಿದ ಅಪ್ಲಿಕೇಶನ್‌ಗಳಿಗಾಗಿ ಫ್ಲ್ಯಾಷ್ ಎಚ್ಚರಿಕೆಯನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ	선택한 앱에 대해 플래시 알림 비활성화	ປິດການແຈ້ງເຕືອນແຟລດສໍາລັບແອັບຯທີ່ເລືອກ	Atspējot zibspuldzes brīdinājumu atlasītajām programmām	Lumpuhkan amaran kilat untuk apl terpilih	Schakel flitswaarschuwing uit voor geselecteerde apps	Wyłącz alert flash dla wybranych aplikacji	Desative o alerta flash para aplicativos selecionados	Отключить флэш-оповещение для выбранных приложений	ปิดใช้งานการแจ้งเตือนแฟลชสำหรับแอปที่เลือก	Seçilen uygulamalar için flaş uyarısını devre dışı bırak	Вимкнути спалах сповіщення для вибраних програм	禁用选定应用程序的闪光警报	Tắt cảnh báo flash cho các ứng dụng đã chọn
general	General	عام	Všeobecné	Allgemein	Γενικός	General	Kindral	Kenraali	Général	सामान्य	Umum	Generale	一般的な	ទូទៅ	ಸಾಮಾನ್ಯ	일반적인	ທົ່ວໄປ	Ģenerālis	Umum	Algemeen	Ogólny	Em geral	Общий	ทั่วไป	Genel	Загальний	一般的	Tổng quan
vibrate	Vibrate	تذبذب	Vibrovat	Vibrieren	Δονούμαι	Vibrar	Vibreerige	Värinä	Vibrer	कंपन	Bergetar	Vibrare	振動する	ញ័រ	ವೈಬ್ರೇಟ್	떨리다	ສັ່ນ	Vibrēt	Bergetar	Trillen	Wibrować	Vibrar	Вибрация	สั่น	Titreşim	Вібрувати	颤动	Rung
silent	Silent	صامتة	Tichý	Still	Σιωπηλός	Silencioso	Vaikne	Hiljainen	Silencieux	चुपचाप	Diam	Silenzioso	静けさ	ស្ងាត់	ಮೂಕ	조용한	ງຽບ	Kluss	Senyap	Stil	Cichy	Silencioso	Тихий	เงียบ	Sessiz	Мовчазний	沉默的	Im lặng
btn_continue	CONTINUE	يكمل	POKRAČOVAT	WEITERMACHEN	ΝΑ ΣΥΝΕΧΙΣΕΙ	CONTINUAR	JÄTKAKE	JATKAA	CONTINUER	जारी रखना	MELANJUTKAN	CONTINUA	続く	បន្ត	ಮುಂದುವರಿಸಿ	계속하다	ສືບຕໍ່	TURPINĀT	TERUSKAN	DOORGAAN	KONTYNUOWAĆ	CONTINUAR	ПРОДОЛЖАТЬ	ดำเนินการต่อ	DEVAM ETMEK	ПРОДОВЖУЙТЕ	继续	TIẾP TỤC
btn_get_started	GET STARTED	البدء	ZAČÍT	LOSLEGEN	ΞΕΚΙΝΑ	EMPEZAR	ALUSTAMA	ALOITTAA	COMMENCER	शुरू हो जाओ	MEMULAI	INIZIARE	始めましょう	ចាប់ផ្តើម	ಪ್ರಾರಂಭಿಸಿ	시작하다	ເລີ່ມ​ຕົ້ນ	SĀC	MULAKAN	BEGIN	ZACZYNAJ	INICIAR	НАЧАТЬ	เริ่ม	BAŞLAMAK	ПОЧАТИ	开始吧	BẮT ĐẦU
txt_repeat	Repeat	يكرر	Opakovat	Wiederholen	Επαναλαμβάνω	Repetir	Korda	Toistaa	Répéter	दोहराना	Mengulang	Ripetere	繰り返す	ធ្វើម្តងទៀត	ಪುನರಾವರ್ತಿಸಿ	반복하다	ເຮັດຊ້ຳ	Atkārtojiet	ulang	Herhalen	Powtarzać	Repita	Повторить	ทำซ้ำ	Tekrarlamak	Повторіть	重复	Lặp lại
restricted	Restricted list	قائمة مقيدة	Omezený seznam	Eingeschränkte Liste	Περιορισμένη λίστα	Lista restringida	Piiratud nimekiri	Rajoitettu lista	Liste restreinte	प्रतिबंधित सूची	Daftar terbatas	Lista ristretta	制限リスト	បញ្ជីដាក់កម្រិត	ನಿರ್ಬಂಧಿತ ಪಟ್ಟಿ	제한된 목록	ບັນຊີລາຍຊື່ທີ່ຖືກຈໍາກັດ	Ierobežots saraksts	Senarai terhad	Beperkte lijst	Lista ograniczona	Lista Restrita	Ограниченный список	รายการที่ถูกจำกัด	Kısıtlı liste	Обмежений список	受限列表	Danh sách hạn chế
page_3_3	Page: 3/3	الصفحة: 3/3	Strana: 3/3	Seite: 3/3	Σελίδα: 3/3	Página: 3/3	Lehekülg: 3/3	Sivu: 3/3	Page : 3/3	पृष्ठ: 3/3	Halaman: 3/3	Pagina: 3/3	ページ: 3/3	ទំព័រ៖ ៣/៣	ಪುಟ: 3/3	페이지: 3/3	ໜ້າ: 3/3	Lapa: 3/3	Muka surat: 3/3	Pagina: 3/3	Strona: 3/3	Página: 3/3	Страница: 3/3	หน้า: 3/3	Sayfa: 3/3	Сторінка: 3/3	页数：3/3	Trang: 3/3
page_2_3	Page: 2/3	الصفحة: 2/3	Strana: 2/3	Seite: 2/3	Σελίδα: 2/3	Página: 2/3	Lehekülg: 2/3	Sivu: 2/3	Page : 2/3	पृष्ठ: 2/3	Halaman: 2/3	Pagina: 2/3	ページ: 2/3	ទំព័រ៖ ២/៣	ಪುಟ: 2/3	페이지: 2/3	ໜ້າ: 2/3	Lapa: 2/3	Muka surat: 2/3	Pagina: 2/3	Strona: 2/3	Página: 2/3	Страница: 2/3	หน้า: 2/3	Sayfa: 2/3	Сторінка: 2/3	页数：2/3	Trang: 2/3
page_1_3	Page: 1/3	الصفحة: 1/3	Strana: 1/3	Seite: 1/3	Σελίδα: 1/3	Página: 1/3	Lehekülg: 1/3	Sivu: 1/3	Page : 1/3	पृष्ठ: 1/3	Halaman: 1/3	Pagina: 1/3	ページ: 1/3	ទំព័រ៖ ១/៣	ಪುಟ: 1/3	페이지: 1/3	ໜ້າ: 1/3	Lapa: 1/3	Muka surat: 1/3	Pagina: 1/3	Strona: 1/3	Página: 1/3	Страница: 1/3	หน้า: 1/3	Sayfa: 1/3	Сторінка: 1/3	页数: 1/3	Trang: 1/3
txt_repeat_description	When this mode is enabled, the flash will repeat continuously. (Only works when touching the test button above)	عند تمكين هذا الوضع، سوف يتكرر الفلاش بشكل مستمر. (يعمل فقط عند لمس زر الاختبار أعلاه)	Když je tento režim povolen, blesk se bude nepřetržitě opakovat. (Funguje pouze při dotyku výše uvedeného testovacího tlačítka)	Wenn dieser Modus aktiviert ist, wird der Blitz kontinuierlich wiederholt. (Funktioniert nur, wenn Sie die Testtaste oben berühren)	Όταν αυτή η λειτουργία είναι ενεργοποιημένη, το φλας θα επαναλαμβάνεται συνεχώς. (Λειτουργεί μόνο όταν αγγίζετε το κουμπί δοκιμής παραπάνω)	Cuando este modo está habilitado, el flash se repetirá continuamente. (Solo funciona cuando se toca el botón de prueba de arriba)	Kui see režiim on lubatud, kordab välklamp pidevalt. (Toimib ainult ülaltoodud testnupu puudutamisel)	Kun tämä tila on käytössä, salama toistuu jatkuvasti. (Toimii vain, kun kosketat yllä olevaa testipainiketta)	Lorsque ce mode est activé, le flash se répétera en continu. (Fonctionne uniquement en touchant le bouton de test ci-dessus)	जब यह मोड सक्षम होता है, तो फ़्लैश लगातार दोहराया जाएगा। (केवल ऊपर दिए गए परीक्षण बटन को छूने पर ही काम करता है)	Saat mode ini diaktifkan, flash akan berulang terus menerus. (Hanya berfungsi ketika menyentuh tombol tes di atas)	Quando questa modalità è abilitata, il flash si ripeterà continuamente. (Funziona solo quando si tocca il pulsante di prova sopra)	このモードを有効にすると、フラッシュが連続的に繰り返されます。 (上のテストボタンをタッチした場合のみ機能します)	នៅពេលដែលរបៀបនេះត្រូវបានបើក ពន្លឺនឹងកើតឡើងជាបន្តបន្ទាប់។ (ដំណើរការតែនៅពេលប៉ះប៊ូតុងសាកល្បងខាងលើ)	ಈ ಮೋಡ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿದಾಗ, ಫ್ಲ್ಯಾಷ್ ನಿರಂತರವಾಗಿ ಪುನರಾವರ್ತಿಸುತ್ತದೆ. (ಮೇಲಿನ ಪರೀಕ್ಷಾ ಬಟನ್ ಅನ್ನು ಸ್ಪರ್ಶಿಸಿದಾಗ ಮಾತ್ರ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ)	이 모드를 활성화하면 플래시가 계속해서 반복됩니다. (위의 테스트 버튼을 터치해야만 작동됩니다)	ເມື່ອໂຫມດນີ້ຖືກເປີດໃຊ້, flash ຈະເຮັດຊ້ໍາຢ່າງຕໍ່ເນື່ອງ. (ພຽງແຕ່ເຮັດວຽກເມື່ອແຕະປຸ່ມທົດສອບຂ້າງເທິງ)	Kad šis režīms ir iespējots, zibspuldze atkārtojas nepārtraukti. (Darbojas tikai tad, ja pieskaras iepriekš esošajai testa pogai)	Apabila mod ini didayakan, denyar akan berulang secara berterusan. (Hanya berfungsi apabila menyentuh butang ujian di atas)	Wanneer deze modus is ingeschakeld, wordt de flits continu herhaald. (Werkt alleen als u de testknop hierboven aanraakt)	Gdy ten tryb jest włączony, lampa błyskowa będzie się powtarzać w sposób ciągły. (Działa tylko po dotknięciu przycisku testowego powyżej)	Quando este modo estiver ativado, o flash se repetirá continuamente. (Só funciona ao tocar no botão de teste acima)	Когда этот режим включен, вспышка будет повторяться непрерывно. (Работает только при нажатии кнопки тестирования выше)	เมื่อเปิดใช้งานโหมดนี้ แฟลชจะทำซ้ำอย่างต่อเนื่อง (ใช้งานได้เมื่อสัมผัสปุ่มทดสอบด้านบนเท่านั้น)	Bu mod etkinleştirildiğinde flaş sürekli olarak tekrarlanacaktır. (Yalnızca yukarıdaki test düğmesine dokunulduğunda çalışır)	Коли цей режим увімкнено, спалах буде повторюватися безперервно. (Працює лише при натисканні кнопки перевірки вище)	启用此模式后，闪光灯将连续重复。 （仅当触摸上面的测试按钮时有效）	Khi bật chế độ này, đèn flash sẽ lặp lại liên tục. (Chỉ hoạt động khi chạm vào nút kiểm tra ở trên)
txt_general_description	Flash can be used in the device's General mode.	يمكن استخدام الفلاش في الوضع العام بالجهاز.	Blesk lze použít v obecném režimu zařízení.	Flash kann im allgemeinen Modus des Geräts verwendet werden.	Το φλας μπορεί να χρησιμοποιηθεί στη Γενική λειτουργία της συσκευής.	Flash se puede utilizar en el modo General del dispositivo.	Välku saab kasutada seadme üldises režiimis.	Salamaa voidaan käyttää laitteen yleistilassa.	Flash peut être utilisé en mode Général de l'appareil.	फ़्लैश का उपयोग डिवाइस के सामान्य मोड में किया जा सकता है।	Flash dapat digunakan dalam mode Umum perangkat.	Flash può essere utilizzato nella modalità Generale del dispositivo.	フラッシュはデバイスの一般モードで使用できます。	Flash អាចត្រូវបានប្រើនៅក្នុងមុខងារទូទៅរបស់ឧបករណ៍។	ಸಾಧನದ ಸಾಮಾನ್ಯ ಕ್ರಮದಲ್ಲಿ ಫ್ಲ್ಯಾಶ್ ಅನ್ನು ಬಳಸಬಹುದು.	플래시는 장치의 일반 모드에서 사용할 수 있습니다.	Flash ສາມາດຖືກນໍາໃຊ້ໃນໂຫມດທົ່ວໄປຂອງອຸປະກອນ.	Zibspuldzi var izmantot ierīces vispārīgajā režīmā.	Denyar boleh digunakan dalam mod Umum peranti.	Flitser kan worden gebruikt in de algemene modus van het apparaat.	Flasha można używać w trybie ogólnym urządzenia.	O Flash pode ser usado no modo Geral do dispositivo.	Вспышку можно использовать в общем режиме устройства.	สามารถใช้แฟลชได้ในโหมดทั่วไปของอุปกรณ์	Flaş cihazın Genel modunda kullanılabilir.	Flash можна використовувати в загальному режимі пристрою.	闪存可在设备的常规模式下使用。	Flash có thể được sử dụng ở chế độ Chung của thiết bị.
txt_vibrate_description	Flash can be used in the device's Vibrate mode.	يمكن استخدام الفلاش في وضع الاهتزاز بالجهاز.	Blesk lze použít v režimu vibrací zařízení.	Der Blitz kann im Vibrationsmodus des Geräts verwendet werden.	Το φλας μπορεί να χρησιμοποιηθεί στη λειτουργία δόνησης της συσκευής.	El flash se puede utilizar en el modo Vibrar del dispositivo.	Välku saab kasutada seadme vibratsioonirežiimis.	Salamaa voidaan käyttää laitteen värinätilassa.	Le flash peut être utilisé en mode Vibreur de l'appareil.	फ़्लैश का उपयोग डिवाइस के वाइब्रेट मोड में किया जा सकता है।	Flash dapat digunakan dalam mode Getar perangkat.	Il flash può essere utilizzato nella modalità Vibrazione del dispositivo.	フラッシュはデバイスの振動モードで使用できます。	Flash អាចត្រូវបានប្រើនៅក្នុងរបៀប Vibrate របស់ឧបករណ៍។	ಸಾಧನದ ವೈಬ್ರೇಟ್ ಮೋಡ್‌ನಲ್ಲಿ ಫ್ಲ್ಯಾಶ್ ಅನ್ನು ಬಳಸಬಹುದು.	플래시는 장치의 진동 모드에서 사용할 수 있습니다.	ສາມາດໃຊ້ Flash ໃນໂໝດສັ່ນສະເທືອນຂອງອຸປະກອນໄດ້.	Zibspuldzi var izmantot ierīces vibrācijas režīmā.	Denyar boleh digunakan dalam mod Getar peranti.	Flitser kan worden gebruikt in de trilmodus van het apparaat.	Flasha można używać w trybie wibracji urządzenia.	O flash pode ser usado no modo Vibrar do dispositivo.	Вспышку можно использовать в режиме вибрации устройства.	สามารถใช้แฟลชในโหมดสั่นของอุปกรณ์ได้	Flaş cihazın Titreşim modunda kullanılabilir.	Спалах можна використовувати в режимі вібрації пристрою.	闪光灯可在设备的振动模式下使用。	Flash có thể được sử dụng ở chế độ Rung của thiết bị.
txt_silent_description	Flash can be used in the device's Silent mode.	يمكن استخدام الفلاش في الوضع الصامت بالجهاز.	Blesk lze použít v tichém režimu zařízení.	Flash kann im Silent-Modus des Geräts verwendet werden.	Το φλας μπορεί να χρησιμοποιηθεί στη αθόρυβη λειτουργία της συσκευής.	Flash se puede utilizar en el modo silencioso del dispositivo.	Välku saab kasutada seadme vaikses režiimis.	Salamaa voidaan käyttää laitteen äänettömässä tilassa.	Flash peut être utilisé en mode silencieux de l'appareil.	फ़्लैश का उपयोग डिवाइस के साइलेंट मोड में किया जा सकता है।	Flash dapat digunakan dalam mode Senyap perangkat.	Il flash può essere utilizzato nella modalità silenziosa del dispositivo.	フラッシュはデバイスのサイレントモードで使用できます。	Flash អាចត្រូវបានប្រើនៅក្នុងរបៀបស្ងាត់របស់ឧបករណ៍។	ಸಾಧನದ ಸೈಲೆಂಟ್ ಮೋಡ್‌ನಲ್ಲಿ ಫ್ಲ್ಯಾಶ್ ಅನ್ನು ಬಳಸಬಹುದು.	플래시는 장치의 무음 모드에서 사용할 수 있습니다.	ສາມາດໃຊ້ Flash ໃນໂໝດງຽບຂອງອຸປະກອນ.	Zibspuldzi var izmantot ierīces klusuma režīmā.	Denyar boleh digunakan dalam mod Senyap peranti.	Flitser kan worden gebruikt in de stille modus van het apparaat.	Flasha można używać w trybie cichym urządzenia.	O Flash pode ser usado no modo Silencioso do dispositivo.	Вспышку можно использовать в бесшумном режиме устройства.	สามารถใช้แฟลชได้ในโหมดเงียบของอุปกรณ์	Flaş cihazın Sessiz modunda kullanılabilir.	Спалах можна використовувати в беззвучному режимі пристрою.	闪光灯可在设备的静音模式下使用。	Flash có thể được sử dụng ở chế độ Im lặng của thiết bị.
the_device_does_not_support_flash	We can't find your flash	لا يمكننا العثور على الفلاش الخاص بك	Nemůžeme najít váš blesk	Wir können Ihren Blitz nicht finden	Δεν μπορούμε να βρούμε το φλας σας	No podemos encontrar tu flash	Me ei leia teie välku	Emme löydä salamaasi	Nous ne trouvons pas votre flash	हमें आपका फ़्लैश नहीं मिल सका	Kami tidak dapat menemukan flash Anda	Non riusciamo a trovare il tuo flash	あなたのフラッシュが見つかりません	យើងមិនអាចស្វែងរកពន្លឺរបស់អ្នកបានទេ។	ನಿಮ್ಮ ಫ್ಲ್ಯಾಷ್ ಅನ್ನು ನಾವು ಹುಡುಕಲಾಗಲಿಲ್ಲ	플래시를 찾을 수 없습니다	ພວກ​ເຮົາ​ບໍ່​ສາ​ມາດ​ຊອກ​ຫາ flash ຂອງ​ທ່ານ​	Mēs nevaram atrast jūsu zibspuldzi	Kami tidak dapat mencari kilat anda	We kunnen uw flitser niet vinden	Nie możemy znaleźć Twojej lampy błyskowej	Não conseguimos encontrar seu flash	Мы не можем найти вашу вспышку	เราไม่พบแฟลชของคุณ	Flaşınızı bulamıyoruz	Ми не можемо знайти ваш спалах	我们找不到您的闪光灯	Chúng tôi không thể tìm thấy đèn flash của bạn
