Group Keys	Text Keys	Base(en)	Vietnamese (vi)	Arabic (ar)	Czech (cs)	German (de)	Greek (el)	Spanish (es)	Estonian (et)	Finnish (fi)	French (fr)	Hindi (hi)	Indonesian (id)	Italian (it)	Japanese (ja)	Khmer (km)	Kannada (kn)	Korean (ko)	Lao (lo)	Latvian (lv)	Malay (ms)	Dutch (nl)	Polish (pl)	Portuguese (pt-PT)	Russian (ru)	Thai (th)	Turkish (tr)	Ukrainian (uk)	Chinese (zh-Hans)
settings_theme	textColor	Text Color	Màu văn bản	لون الخط	Barva textu	Textfarbe	Χρώμα κειμένου	Color de texto	Tekstivärv	Tekstinväri	Couleur de texte	पाठ का रंग	Warna teks	Colore del testo	テキストの色	ពណ៌អត្ថបទ	ಪಠ್ಯ ಬಣ್ಣ	텍스트 색상	ສີ Text	Teksta krāsa	Warna teks	Tekst kleur	Kolor tekstu	Cor do texto	Цвет текста	สีข้อความ	Metin rengi	Текстовий колір	文字颜色
settings_theme	backgroundColor	Background Color	Màu nền	لون الخلفية	Barva pozadí	Hintergrundfarbe	Χρώμα του φόντου	Color de fondo	Taustavärv	Taustaväri	Couleur de l'arrière plan	पृष्ठभूमि का रंग	Warna latar belakang	Colore di sfondo	背景色	ពណ៌ផ្ទៃខាងក្រោយ	ಹಿನ್ನೆಲೆ ಬಣ್ಣ	배경색	ສີພື້ນຫລັງ	Fona krāsa	Warna latar belakang	Achtergrond kleur	Kolor tła	Cor de fundo	Фоновый цвет	สีพื้นหลัง	Arka plan rengi	Колір фону	背景颜色
settings_theme	boxColor	Box Color	Màu hộp	لون المربع	Barva krabice	Boxfarbe	Χρωματικό χρώμα	Color de la caja	Karbivärv	Laatikkoväri	Couleur de la boîte	बक्से का रंग	Warna kotak	Colore della scatola	ボックスカラー	ពណ៌ប្រអប់	ಬಾಕ್ಸ್ ಬಣ್ಣ	상자 색상	ສີຕູ້	Kastes krāsa	Warna kotak	Dooskleur	Kolor pudełka	Cor da caixa	Цвет коробки	สีกล่อง	Kutu rengi	Коробний колір коробки	盒子颜色
actions	selectAll	Select All	Chọn tất cả	اختر الكل	Vybrat vše	Wählen Sie Alle	Επιλογή όλων	Seleccionar todo	Vali kõik	Valitse kaikki	Tout sélectionner	सबका चयन करें	Pilih Semua	Seleziona tutto	すべて選択	ជ្រើសរើស​ទាំងអស់	ಎಲ್ಲವನ್ನು ಆರಿಸು	모두를 선택하십시오	ເລືອກ​ທັງ​ຫມົດ	Izvēlēties visus	Pilih semua	Selecteer alles	Zaznacz wszystko	Selecionar tudo	Выбрать все	เลือกทั้งหมด	Hepsini seç	Вибрати все	全选
actions	deselectAll	Deselect All	Bỏ chọn tất cả	الغاء تحديد الكل	Odznačit vše	Alle abwählen	Αποεπιλογή όλων	Deseleccionar todo	Valige kõik	Poistaa kaikki valinta	Tout déselectionner	सबको अचयनित करो	Batalkan pilihan semua	Deselezionare tutto	すべての選択を解除	ដោះជម្រើសទាំងអស់	ಎಲ್ಲವನ್ನು ಆಯ್ಕೆ ಮಾಡಿ	모든 것을 선택 해제하십시오	ບໍ່ເລືອກທັງຫມົດ	Atsijāt visu	Nyahpilih semua	Deselecteer alles	Odznacz wszystkie	Desmarcar todos	Убрать выделение со всего	ยกเลิกการเลือกทั้งหมด	Hiçbirini seçme	Вимити вибір	取消选择
actions	cancel	Cancel	Hủy bỏ	يلغي	zrušení	Stornieren	Ματαίωση	Cancelar	Tühistama	Peruuttaa	Annuler	रद्द करना	Membatalkan	Annulla	キャンセル	លប់ចោល	ರದ್ದುಮಾಡು	취소	ຍົກເລີກ	Atcelt	Batalkan	Annuleren	Anulować	Cancelar	Отмена	ยกเลิก	İptal etmek	Скасувати	取消
actions	done	Done	Xong	منتهي	Hotovo	Erledigt	Εγινε	Hecho	Tehtud	Tehty	Fait	हो गया	Selesai	Fatto	終わり	រ្យេឱដេនោ	ಮುಗಿದ	완료	ແລ້ວ? ແລ້ວ	Darīts	Selesai	Klaar	Zrobione	Feito	Сделанный	เสร็จแล้ว	Tamamlamak	Зроблений	完毕
actions	send	Send	Gửi	يرسل	Poslat	Schicken	Στείλετε	Enviar	Saada	Lähettää	Envoyer	भेजना	Mengirim	Inviare	送信	ផ្ញើរ	ಕಳುಹಿಸು	보내다	ສົ່ງ	Nosūtīt	Hantar	Versturen	Wysłać	Enviar	Отправлять	ส่ง	Göndermek	Надсилати	发送
actions	ok	OK	Đồng ý	نعم	OK	OK	Εντάξει	DE ACUERDO	Okei	Hyvä	D'ACCORD	ठीक है	OKE	OK	わかりました	យល់ព្រម	ಸರಿ	좋아요	ຕົກ​ລົງ	labi	okey	OK	OK	OK	ХОРОШО	ตกลง	TAMAM	в порядку	好的
actions	edit	Edit	Chỉnh sửa	يحرر	Upravit	Bearbeiten	Επεξεργασία	Editar	Redigeerima	Muokata	Modifier	संपादन करना	Edit	Modificare	編集	បិនិត្យ	ತಿದ್ದು	편집하다	ແກ້ໄຂ	Rediģēt	Edit	Bewerking	Edytować	Editar	Редактировать	แก้ไข	Düzenlemek	Редагувати	编辑
actions	select	Select	Chọn	يختار	Vybrat	Wählen	Επιλέγω	Seleccionar	Valima	Valita	Sélectionner	चुनना	Pilih	Selezionare	選択する	រេចីសរើស	ಆಯ್ಕೆ ಮಾಡಿ	선택하다	ເລືອກ	Atlasīt	Pilih	Uitkiezen	Wybierać	Selecione	Выбирать	เลือก	Seçme	Обраний	选择
actions	selected	Selected	Đã chọn	المحدد	Vybraný	Ausgewählt	Επιλεγμένος	Seleccionado	Valitud	Valittu	Choisi	चयनित	Terpilih	Selezionato	選択	បានជ្រើស	ಆಯ್ದ	선택된	ຄັດເລືອກ	Atlasīts	Dipilih	Geselecteerd	Wybrany	Selecionado	Выбран	ที่เลือก	Seçilmiş	Обраний	选定
actions	delete	Delete	Xóa	يمسح	Vymazat	Löschen	Διαγράφω	Borrar	Kustutama	Poistaa	Supprimer	मिटाना	Menghapus	Eliminare	消去	របៅបេលរសច	ಅಳಿಸು	삭제	ລົບ	Dzēst	Padam	Verwijderen	Usuwać	Excluir	Удалить	ลบ	Silmek	Видаляти	删除
actions	share	Share	Chia sẻ	يشارك	Podíl	Aktie	Μερίδιο	Compartir	Osakaal	Jaa	Partager	शेयर करना	Membagikan	Condividere	共有	ការរមលេក	ಹಂಚು	공유하다	ສ່ວນ	Akcija	Berkongsi	Deel	Udział	Compartilhar	Делиться	แบ่งปัน	Paylaşmak	Розподіляти	分享
actions	completed	Completed!	Hoàn thành!	مكتمل!	Dokončené!	Vollendet!	Ολοκληρώθηκε το!	¡Terminado!	Valmis!	Valmis!	Complété!	पुरा होना!	Lengkap!	Completato!	完成！	បានបញ្ចប់!	ಪೂರ್ಣಗೊಂಡಿದೆ!	완전한!	ສໍາເລັດ!	Pabeigts!	Selesai!	Voltooid!	Zakończony!	Concluído!	Завершенный!	สมบูรณ์!	Tamamlanmış!	Завершено!	完全的！
actions	error	Error!	Lỗi!	خطأ!	Chyba!	Fehler!	Λάθος!	¡Error!	Viga!	Virhe!	Erreur!	गलती!	Kesalahan!	Errore!	エラー！	កំហុស!	ದೋಷ!	오류!	ຂໍ້ຜິດພາດ!	Kļūda!	Ralat!	Fout!	Błąd!	Erro!	Ошибка!	ข้อผิดพลาด!	Hata!	Помилка!	错误！
actions	search	Search	Tìm kiếm	يبحث	Vyhledávání	Suchen	Αναζήτηση	Buscar	Otsing	Hae	Recherche	खोज	Mencari	Ricerca	検索	ការឆេកឆេ	ಹುಡುಕಿ Kannada	찾다	ຄົ້ນຫາ	Meklēt	Cari	Zoekopdracht	Szukaj	Procurar	Поиск	ค้นหา	Aramak	Обшук	搜索
actions	version	Version	Phiên bản	إصدار	Verze	Ausführung	Εκδοχή	Versión	Versioon	Versio	Version	संस्करण	Versi: kapan	Versione	バージョン	កមបុរក្នា	ಆವೃತ್ತಿ	버전	ສະບັບ	Versija	Versi	Versie	Wersja	Versão	Версия	รุ่น	Versiyon	Версія	版本
general	loading	Loading ...	Đang tải ...	تحميل ...	Načítání ...	Wird geladen ...	Φόρτωση ...	Cargando ...	Laadimine ...	Ladataan ...	Chargement ...	लोड हो रहा है ...	Memuat ...	Caricamento ...	読み込み...	កំពុងផ្ទុក ...	ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ ...	로딩 ...	ກໍາລັງໂຫລດ ...	Iekraušana ...	Memuatkan ...	Bezig met laden ...	Ładowanie ...	Carregando ...	Загрузка ...	กำลังโหลด ...	Yükleniyor ...	Завантаження ...	加载中 ...
general	noInternetMessage	Unable to connect to the server. Check your connection and try again.	Không thể kết nối đến máy chủ. Kiểm tra kết nối của bạn và thử lại.	غير قادر على الاتصال بالخادم. تحقق من اتصالك وحاول مرة أخرى.	Nelze se připojit k serveru. Zkontrolujte své připojení a zkuste to znovu.	Ich kann keine Verbindung zum Server herstellen. Überprüfen Sie Ihre Verbindung und versuchen Sie es erneut.	Δεν είναι δυνατή η σύνδεση στον διακομιστή. Ελέγξτε τη σύνδεσή σας και δοκιμάστε ξανά.	No es posible conectarse al servidor. Revise su conexión y vuelva a intentarlo.	Ei saa serveriga ühendust luua. Kontrollige oma ühendust ja proovige uuesti.	Ei voi muodostaa yhteyttä palvelimeen. Tarkista yhteys ja yritä uudelleen.	Impossible de se connecter au serveur. Vérifiez votre connexion et réessayez.	सर्वर से कनेक्ट करने में अक्षम। अपने कनेक्शन की जाँच करें और फिर से प्रयास करें।	Tidak dapat terhubung ke server. Periksa koneksi Anda dan coba lagi.	Impossibile connettersi al server. Controlla la tua connessione e riprova.	サーバーに接続できません。接続を確認して、再試行してください。	មិនអាចភ្ជាប់ទៅម៉ាស៊ីនមេបានទេ។ ពិនិត្យមើលការភ្ជាប់របស់អ្នកហើយព្យាយាមម្តងទៀត។	ಸರ್ವರ್‌ಗೆ ಸಂಪರ್ಕಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ. ನಿಮ್ಮ ಸಂಪರ್ಕವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.	서버에 연결할 수 없습니다. 연결을 확인하고 다시 시도하십시오.	ບໍ່ສາມາດເຊື່ອມຕໍ່ກັບເຊີບເວີໄດ້. ກວດເບິ່ງການເຊື່ອມຕໍ່ຂອງທ່ານແລະລອງໃຫມ່ອີກຄັ້ງ.	Nevar izveidot savienojumu ar serveri. Pārbaudiet savu savienojumu un mēģiniet vēlreiz.	Tidak dapat menyambung ke pelayan. Periksa sambungan anda dan cuba lagi.	Kan niet verbinden met de server. Controleer uw verbinding en probeer het opnieuw.	Nie można połączyć się z serwerem. Sprawdź swoje połączenie i spróbuj ponownie.	Não é possível conectar ao servidor. Verifique sua conexão e tente novamente.	Невозможно подключиться к серверу. Проверьте свое соединение и попробуйте еще раз.	ไม่สามารถเชื่อมต่อกับเซิร์ฟเวอร์ได้ ตรวจสอบการเชื่อมต่อของคุณและลองอีกครั้ง	Sunucuya bağlanılamıyor. Bağlantınızı kontrol edin ve tekrar deneyin.	Неможливо підключитися до сервера. Перевірте своє з'єднання та повторіть спробу.	无法连接到服务器。检查您的连接，然后重试。
actions	retry	Retry	Thử lại	إعادة المحاولة	Opakovat	Wiederholen	Ξαναδοκιμάσετε	Rever	Uuesti proovima	Tehdä uudelleen	Recommencez	पुन: प्रयास करें	Mencoba kembali	Riprovare	リトライ	ាប់រេគ្រប់យ៉ាងបី	ಮರುಪ್ರಯತ್ನಿಸಿ	다시 해 보다	ລອງໃຫມ່	Atkārtot	Cuba semula	Opnieuw proberen	Spróbować ponownie	Tente novamente	Повторно	ลองอีกครั้ง	Yeniden yapmak	Повторити	重试
general	txt_rate	Rate now!	Đánh giá ngay bây giờ!	قيم الآن!	Ohodnoťte nyní!	Jetzt bewerten!	Βαθμολογήστε τώρα!	¡Califica ahora!	Hinda kohe!	Arvioi nyt!	Évaluez maintenant !	अब रेट करें!	Nilai sekarang!	Valuta ora!	今すぐ評価してください！	វាយតម្លៃឥឡូវនេះ!	ಈಗಲೇ ರೇಟ್ ಮಾಡಿ!	지금 평가해 보세요!	ໃຫ້ຄະແນນດຽວນີ້!	Novērtējiet tagad!	Nilai sekarang!	Beoordeel nu!	Oceń teraz!	Avalie agora!	Оцените сейчас!	ให้คะแนนตอนนี้!	Şimdi değerlendirin!	Оцініть зараз!	立即评分！
actions	txt_give_5_stars	Give us 5 stars!	Cho chúng tôi 5 sao!	أعطنا 5 نجوم!	Dejte nám 5 hvězdiček!	Gib uns 5 Sterne!	Δώστε μας 5 αστέρια!	¡Danos 5 estrellas!	Andke meile 5 tärni!	Anna meille 5 tähteä!	Donnez-nous 5 étoiles!	हमें 5 सितारे दें!	Beri kami 5 bintang!	Dacci 5 stelle!	5つ星をください！	ផ្តល់ឱ្យយើងនូវផ្កាយចំនួន 5!	ನಮಗೆ 5 ನಕ್ಷತ್ರಗಳನ್ನು ನೀಡಿ!	별 5 개를주세요!	ໃຫ້ 5 ດາວ!	Dodiet mums 5 zvaigznes!	Beri kami 5 bintang!	Geef ons 5 sterren!	Daj nam 5 gwiazdek!	Dê -nos 5 estrelas!	Дай нам 5 звезд!	ให้เรา 5 ดาว!	Bize 5 yıldız ver!	Дайте нам 5 зірок!	给我们5星！
actions	txt_no_thanks	No, thanks	Không, cám ơn	ًلا شكرا	Ne, díky	Nein danke	Οχι ευχαριστώ	No, gracias	Ei aitäh	Ei kiitos	Non merci	जी नहीं, धन्यवाद	Tidak, terima kasih	No grazie	結構です	អត់អី​ទេ​អរគុណ​ហើយ	ಬೇಡ ಧನ್ಯವಾದಗಳು	고맙지 만 사양 할게	ບໍ່​ຂອບ​ໃຈ	Nē paldies	Tidak, Terima kasih	Nee bedankt	Nie, dziękuję	Não, obrigado	Нет, спасибо	ไม่เป็นไรขอบคุณ	Hayır, teşekkürler	Ні, дякую	不，谢谢
actions	txt_notice	Notice!	Chú ý!	يلاحظ!	Oznámení!	Beachten!	Ειδοποίηση!	¡Aviso!	Pange tähele!	Ilmoitus!	Avis!	सूचना!	Melihat!	Avviso!	知らせ！	សេចក្តីជូនដំណឹង!	ಗಮನಿಸಿ!	알아채다!	ແຈ້ງການ!	Paziņojums!	Notis!	Kennisgeving!	Ogłoszenie!	Perceber!	Уведомление!	สังเกต!	Fark etme!	Зверніть увагу!	注意！
inapp	get_7_days_for_free	Get 7 days for free	Nhận 7 ngày miễn phí	احصل على 7 أيام مجانًا	Získejte 7 dní zdarma	Erhalten Sie 7 Tage gratis	Αποκτήστε 7 ημέρες δωρεάν	Consigue 7 días gratis	Hankige 7 päeva tasuta	Saat 7 päivää ilmaiseksi	Obtenez 7 jours gratuits	7 दिन निःशुल्क प्राप्त करें	Dapatkan 7 hari gratis	Ottieni 7 giorni gratis	7 日間無料で利用可能	ទទួលបាន 7 ថ្ងៃដោយឥតគិតថ្លៃ	7 ದಿನಗಳನ್ನು ಉಚಿತವಾಗಿ ಪಡೆಯಿರಿ	7일 동안 무료로 이용하세요	ຮັບ 7 ມື້ຟຣີ	Saņemiet 7 dienas bez maksas	Dapatkan 7 hari secara percuma	Ontvang 7 dagen gratis	Uzyskaj 7 dni za darmo	Ganhe 7 dias grátis	Получите 7 дней бесплатно	รับฟรี 7 วัน	7 gün ücretsiz kazanın	Отримайте 7 днів безкоштовно	免费获得 7 天
inapp	super_promotion	Super promotion	Siêu khuyến mãi	ترقية فائقة	Super propagace	Super Werbung	Σούπερ προώθηση	Súper promoción	Super reklaam	Super promootio	Super promotion	सुपर प्रमोशन	Promosi super	Super promozione	スーパープロモーション	ការផ្សព្វផ្សាយដ៏អស្ចារ្យ	ಸೂಪರ್ ಪ್ರಚಾರ	슈퍼 프로모션	ໂປຣໂມຊັນສຸດຍອດ	Super akcija	Promosi hebat	Superpromotie	Super promocja	Super promoção	Супер акция	โปรโมชั่นสุดๆ	Süper promosyon	Супер акція	超级促销
inapp	get_3_days_for_free	Get 3 days for free	Nhận 3 ngày miễn phí	احصل على 3 أيام مجانًا	Získejte 3 dny zdarma	Erhalten Sie 3 Tage gratis	Αποκτήστε 3 ημέρες δωρεάν	Consigue 3 días gratis	Hankige 3 päeva tasuta	Saat 3 päivää ilmaiseksi	Obtenez 3 jours gratuits	3 दिन मुफ़्त पाएं	Dapatkan 3 hari gratis	Ottieni 3 giorni gratis	3 日間無料で利用可能	ទទួលបាន 3 ថ្ងៃដោយឥតគិតថ្លៃ	3 ದಿನಗಳನ್ನು ಉಚಿತವಾಗಿ ಪಡೆಯಿರಿ	3일 동안 무료로 이용하세요	ຮັບ 3 ມື້ຟຣີ	Saņemiet 3 dienas bez maksas	Dapatkan 3 hari secara percuma	Ontvang 3 dagen gratis	Uzyskaj 3 dni za darmo	Ganhe 3 dias grátis	Получите 3 дня бесплатно	รับฟรี 3 วัน	3 gün ücretsiz kazanın	Отримайте 3 дні безкоштовно	免费获得 3 天
inapp	weekly_premium	Weekly	hàng tuần	أسبوعي	Týdně	Wöchentlich	Εβδομαδιαίος	Semanalmente	Iganädalane	Viikoittain	Hebdomadaire	साप्ताहिक	Mingguan	settimanalmente	毎週	ប្រចាំសប្តាហ៍	ಸಾಪ್ತಾಹಿಕ	주간	ອາທິດ	Iknedēļas	Setiap minggu	Wekelijks	Co tydzień	Semanalmente	Еженедельно	รายสัปดาห์	Haftalık	Щотижня	每周
inapp	monthly_premium	Monthly	hàng tháng	شهريا	Měsíční	Monatlich	Μηνιαίο	Mensual	Igakuine	Kuukausittain	Mensuel	महीने के	Bulanan	Mensile	毎月	ប្រចាំខែ	ಮಾಸಿಕ	월간 간행물	ປະຈໍາເດືອນ	Ikmēneša	Bulanan	Maandelijks	Miesięczny	Por mês	Ежемесячно	รายเดือน	Aylık	Щомісяця	每月
inapp	yearly_premium	Yearly	Hàng năm	سنوي	Roční	Jährlich	Ετήσια	Anual	Aastane	Vuosittain	Annuel	सालाना	Tahunan	Annuale	毎年	ប្រចាំឆ្នាំ	ವಾರ್ಷಿಕ	매년	ປະຈຳປີ	Ik gadu	setiap tahun	Jaarlijks	Rocznie	Anual	Ежегодно	เป็นประจำทุกปี	Yıllık	Щорічно	每年
inapp	weekly_premium_sale_off	Sale 50% off	Giảm giá 50%	بيع خصم 50%	Výprodej s 50% slevou	Ausverkauf 50 % Rabatt	Έκπτωση 50% έκπτωση	Venta 50% de descuento	Müük 50% soodsamalt	Myynti 50% alennus	Vente 50% de réduction	बिक्री पर 50% की छूट	Dijual diskon 50%.	Saldi scontati del 50%.	セール 50% オフ	លក់បញ្ចុះតម្លៃ 50%	50% ರಿಯಾಯಿತಿ ಮಾರಾಟ	판매 50% 할인	ຂາຍຫຼຸດ 50%.	Izpārdošana ar 50% atlaidi	Jualan 50% diskaun	Uitverkoop 50% korting	Wyprzedaż 50% taniej	Venda com 50% de desconto	Распродажа со скидкой 50%	ลดราคา 50%	Satış %50 indirim	Знижка 50%.	促销 50% 折扣
general	crate	crate	ky	قفص	bedna	Kiste	σακαράκα	caja	kast	laatikko	caisse	टोकरा	peti	cassa	木箱	ធុង	ಕ್ರೇಟ್	나무 상자	ກະຕ່າ	kaste	peti	krat	paka	caixote	ящик	ลัง	sandık	ящик	箱
general	delete_sheet_title	Delete Record	Xóa bản ghi	حذف السجل	Smazat záznam	Datensatz löschen	Διαγραφή εγγραφής	Eliminar registro	Kustuta kirje	Poista tietue	Supprimer l'enregistrement	रिकॉर्ड हटाएँ	Hapus Catatan	Elimina registrazione	レコードの削除	លុបកំណត់ត្រា	ದಾಖಲೆ ಅಳಿಸಿ	기록 삭제	ລຶບບັນທຶກ	Dzēst ierakstu	Padam Rekod	Opname verwijderen	Usuń rekord	Excluir registro	Удалить запись	ลบบันทึก	Kaydı Sil	Видалити запис	删除记录
general	delete_sheet_message	Are you sure you want to delete?	Bạn có chắc chắn muốn xóa không?	هل أنت متأكد أنك تريد الحذف؟	Opravdu chcete smazat?	Möchten Sie wirklich löschen?	Είστε βέβαιοι ότι θέλετε να διαγράψετε;	¿Estás seguro de que deseas eliminar?	Kas soovite kindlasti kustutada?	Haluatko varmasti poistaa?	Êtes-vous sûr de vouloir supprimer ?	क्या आप आश्वस्त है कि आपको डिलीट करना है?	Apakah Anda yakin ingin menghapus?	Sei sicuro di voler eliminare?	削除してもよろしいですか?	តើអ្នកប្រាកដថាចង់លុបទេ?	ನೀವು ಅಳಿಸಲು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?	삭제하시겠습니까?	ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການລຶບ?	Vai tiešām vēlaties dzēst?	Adakah anda pasti mahu memadamkan?	Weet je zeker dat je wilt verwijderen?	Czy na pewno chcesz usunąć?	Tem certeza de que deseja excluir?	Вы уверены, что хотите удалить?	คุณแน่ใจหรือไม่ว่าต้องการลบ	Silmek istediğinizden emin misiniz?	Ви впевнені, що хочете видалити?	您确定要删除吗？
general	create_record	Create Record	Tạo bản ghi	إنشاء سجل	Vytvořit záznam	Datensatz erstellen	Δημιουργία εγγραφής	Crear registro	Loo kirje	Luo tietue	Créer un enregistrement	रिकॉर्ड बनाएं	Buat Catatan	Crea registrazione	レコードの作成	បង្កើតកំណត់ត្រា	ದಾಖಲೆ ರಚಿಸಿ	레코드 생성	ສ້າງບັນທຶກ	Izveidot ierakstu	Cipta Rekod	Record maken	Utwórz rekord	Criar registro	Создать запись	สร้างบันทึก	Kayıt Oluştur	Створити запис	创建记录
general	edit_record	Edit Record	Chỉnh sửa bản ghi	تحرير السجل	Upravit záznam	Datensatz bearbeiten	Επεξεργασία εγγραφής	Editar registro	Redigeeri kirjet	Muokkaa tietuetta	Modifier l'enregistrement	रिकॉर्ड संपादित करें	Sunting Rekam	Modifica registrazione	レコードの編集	កែសម្រួលកំណត់ត្រា	ದಾಖಲೆ ಸಂಪಾದಿಸಿ	기록 편집	ແກ້ໄຂບັນທຶກ	Rediģēt ierakstu	Edit Rekod	Opname bewerken	Edytuj rekord	Editar registro	Редактировать запись	แก้ไขบันทึก	Kaydı Düzenle	Редагувати запис	编辑记录
general	at	at	lúc	في	na	bei	στο	en	juures	at	à	पर	pada	A	で	ក្នុង	ಬಳಿಗೆ	~에	ທີ່	pie	pada	bij	Na	no	в	ที่	-den	в	在
general	buy_in	buy in	mua vào	شراء في	koupit v	einkaufen	αγοράστε μέσα	comprar	sisse osta	osta sisään	acheter	खरीदना	membeli	acquistare	購入する	ទិញចូល	ಒಳಗೆ ಖರೀದಿಸಿ	매입하다	ຊື້ໃນ	iepirkties	beli masuk	inkopen	przelicytować	compre	купить в	ซื้อใน	satın almak	купити в	买入
general	sell_out	sell out	bán ra	بيع	vyprodat	ausverkauft	προδίδω	traicionar	välja müüa	myydä loppuun	vendre	बिक्री कर देना	berkhianat	esaurirsi	売り切る	លក់ចេញ	ಮಾರಾಟವಾಗುತ್ತದೆ	매진하다	ຂາຍອອກ	izpārdot	habis dijual	uitverkocht	wyprzedać	vender	распродать	ขายหมด	satmak	розпродати	出卖
general	customer_name	Customer name	Tên khách hàng	اسم العميل	Jméno zákazníka	Kundenname	Όνομα πελάτη	Nombre del cliente	Kliendi nimi	Asiakkaan nimi	Nom du client	ग्राहक का नाम	Nama pelanggan	Nome del cliente	顧客名	ឈ្មោះអតិថិជន	ಗ್ರಾಹಕರ ಹೆಸರು	고객 이름	ຊື່ລູກຄ້າ	Klienta vārds	Nama pelanggan	Klantnaam	Nazwa klienta	Nome do cliente	Имя клиента	ชื่อลูกค้า	Müşteri adı	Ім'я клієнта	客户名称
general	phone	Phone	Điện thoại	هاتف	Telefon	Telefon	Τηλέφωνο	Teléfono	Telefon	Puhelin	Téléphone	फ़ोन	Telepon	Telefono	電話	ទូរស័ព្ទ	ಫೋನ್	핸드폰	ໂທລະສັບ	Tālrunis	telefon	Telefoon	Telefon	Telefone	Телефон	โทรศัพท์	Telefon	Телефон	电话
general	address	Address	Địa chỉ	عنوان	Adresa	Adresse	Διεύθυνση	DIRECCIÓN	Aadress	Osoite	Adresse	पता	Alamat	Indirizzo	住所	អាស័យដ្ឋាន	ವಿಳಾಸ	주소	ທີ່ຢູ່	Adrese	Alamat	Adres	Adres	Endereço	Адрес	ที่อยู่	Adres	Адреса	地址
general	note	Note	Ghi chú	ملحوظة	Poznámka	Notiz	Σημείωμα	Nota	Märkus	Huom	Note	टिप्पणी	Catatan	Nota	注記	ចំណាំ	ಗಮನಿಸಿ	메모	ໝາຍເຫດ	Piezīme	Nota	Opmerking	Notatka	Observação	Примечание	บันทึก	Not	Примітка	笔记
general	price	Price	Giá	سعر	Cena	Preis	Τιμή	Precio	Hind	Hinta	Prix	कीमत	Harga	Prezzo	価格	តម្លៃ	ಬೆಲೆ	가격	ລາຄາ	Cena	harga	Prijs	Cena	Preço	Цена	ราคา	Fiyat	Ціна	价格
general	depreciation_percentage	Depreciation Percentage(%)	Tỷ lệ khấu hao(%)	نسبة الإهلاك(%)	Procento odpisu (%)	Abschreibungsprozentsatz (%)	Ποσοστό απόσβεσης(%)	Porcentaje de depreciación (%)	Amortisatsiooniprotsent (%)	Poistoprosentti (%)	Pourcentage d'amortissement (%)	मूल्यह्रास प्रतिशत(%)	Persentase Penyusutan (%)	Percentuale di ammortamento(%)	減価償却費率(%)	ភាគរយរំលោះ(%)	ಸವಕಳಿ ಶೇಕಡಾವಾರು(%)	감가상각률(%)	ເປີເຊັນຄ່າເສື່ອມລາຄາ(%)	Nolietojuma procenti (%)	Peratusan Susut Nilai(%)	Afschrijvingspercentage (%)	Procent amortyzacji (%)	Porcentagem de depreciação (%)	Процент амортизации (%)	เปอร์เซ็นต์ค่าเสื่อมราคา(%)	Amortisman Yüzdesi(%)	Відсоток амортизації (%)	折旧率(%)
general	total_weight	Total Weight	Tổng trọng lượng	الوزن الإجمالي	Celková hmotnost	Gesamtgewicht	Συνολικό Βάρος	Peso Total	Kogukaal	Kokonaispaino	Poids total	कुल वजन	Berat Total	Peso totale	総重量	ទំងន់សរុប	ಒಟ್ಟು ತೂಕ	총 중량	ນ້ຳໜັກທັງໝົດ	Kopējais svars	Jumlah Berat	Totaal gewicht	Całkowita waga	Peso total	Общий вес	น้ำหนักรวม	Toplam Ağırlık	Загальна вага	总重量
general	after_depreciation	After Depreciation	Sau khi trừ khấu hao	بعد الإهلاك	Po odpisech	Nach Abschreibung	Μετά την Απόσβεση	Después de la depreciación	Peale amortisatsiooni	Poistojen jälkeen	Après amortissement	मूल्यह्रास के बाद	Setelah Penyusutan	Dopo l'ammortamento	減価償却後	បន្ទាប់ពីរំលោះ	ಸವಕಳಿ ನಂತರ	감가상각 후	ຫຼັງຈາກຄ່າເສື່ອມລາຄາ	Pēc Nolietojuma	Selepas Susut Nilai	Na afschrijving	Po amortyzacji	Após a depreciação	После амортизации	หลังค่าเสื่อมราคา	Amortisman Sonrası	Після амортизації	折旧后
general	price_per_kg	Price / Kg	Giá / kg	السعر / كجم	Cena / kg	Preis / kg	Τιμή / Kg	Precio / Kg	Hind / kg	Hinta / kg	Prix/Kg	कीमत/किलो	Harga /Kg	Prezzo/Kg	価格/kg	តម្លៃ / គីឡូក្រាម	ಬೆಲೆ / ಕೆಜಿ	가격/kg	ລາຄາ/ກິໂລ	Cena / kg	Harga / Kg	Prijs / kg	Cena / kg	Preço/Kg	Цена / кг	ราคา / กก	Fiyat / kg	Ціна / кг	价格/公斤
